column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,1
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,3
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,3
15,20,5,10,1,2,1,4,4,2,2,2,4,1,2
15,20,5,5,1,2,1,4,4,2,2,2,4,1,2
10,20,5,5,1,2,1,4,4,2,2,2,4,1,2
15,15,5,15,1,2,1,4,4,2,2,2,4,1,2
15,15,5,10,1,2,1,4,4,2,2,2,4,1,2
15,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,15,5,10,1,2,1,4,4,2,2,2,4,1,2
10,15,5,5,1,2,1,4,4,2,2,2,4,1,2
5,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,10,5,10,1,2,1,4,4,4,2,2,4,1,4
10,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,5,5,5,1,2,1,4,4,2,2,2,4,1,2
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,1
15.385284,15.2248745,17.101505,5,1,2,1,3,1,3,4,3,1,2,3
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,3
10,20,5,10,1,2,1,4,4,2,3,2,1,2,2
10,15,15,5,1,2,3,3,4,2,2,2,4,3,2
10,13.783443,15.216237,15.067605,1,2,3,3,2,2,1,3,2,2,2
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,3
11.87463,6.2821164,5.571046,5.2103906,1,2,3,4,2,3,3,2,3,1,3
12.681728,7.046892,10.080449,6.0208697,1,3,1,1,3,3,2,4,2,2,3
15.082165,11.970514,11.691257,14.723787,1,4,1,4,3,3,1,1,4,1,3
5.965795,18.055859,5,9.762368,1,2,1,1,4,2,3,2,4,2,2
8.323891,5.5976605,13.546026,16.341225,1,4,3,1,2,4,2,4,4,1,4
7.6180587,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,4
19.365881,16.6417,5,7.239067,1,2,1,4,1,2,4,2,4,3,2
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,1
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,3
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,3
15,20,5,10,1,2,1,4,4,2,2,2,4,1,2
15,20,5,5,1,2,1,4,4,2,2,2,4,1,2
15,15,5,10,1,2,1,4,4,2,2,2,4,1,2
15,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,15,5,10,1,2,1,4,4,2,2,2,4,1,2
10,15,5,5,1,2,1,4,4,2,2,2,4,1,2
5,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,10,5,10,1,2,1,4,4,4,2,2,4,1,4
10,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,5,5,5,1,2,1,4,4,2,2,2,4,1,2
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,1
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,3
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,3
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,1
6.5818877,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,3
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,1
7.9715433,10,12.292355,10,1,2,1,4,4,1,2,2,4,1,1
19.981346,19.53531,5,6.6671724,1,4,1,3,2,2,2,4,1,1,2
14.091442,18.266363,7.185748,8.561736,1,4,3,4,1,2,2,2,4,3,2
16.182137,17.88979,7.3191156,17.105978,1,1,1,2,3,2,4,3,2,2,2
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,3
8.906356,17.171486,19.035257,10.067329,1,1,3,2,2,3,4,3,4,2,3
10,20,5,5,1,2,1,4,4,2,2,2,4,1,2
12.681728,7.046892,10.080449,6.0208697,1,3,1,1,3,3,2,4,2,2,3
7.6180587,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,4
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,1
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,3
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,3
15,20,5,10,1,2,1,4,4,2,2,2,4,1,2
15,20,5,5,1,2,1,4,4,2,2,2,4,1,2
15,15,5,10,1,2,1,4,4,2,2,2,4,1,2
15,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,15,5,10,1,2,1,4,4,2,2,2,4,1,2
10,15,5,5,1,2,1,4,4,2,2,2,4,1,2
5,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,10,5,10,1,2,1,4,4,4,2,2,4,1,4
10,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,5,5,5,1,2,1,4,4,2,2,2,4,1,2
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,1
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,3
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,3
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,1
6.5818877,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,3
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,1
12.175149,7.523636,12.498687,5,1,1,1,4,3,3,4,4,3,3,3
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,4
8.467737,13.531912,6.0168047,7.5392795,1,2,1,4,1,1,2,2,1,2,1
9.785675,17.171486,9.195659,6.290353,1,1,1,3,4,1,1,1,3,1,1
19.981346,19.53531,5,6.6671724,1,4,1,3,2,2,2,4,1,1,2
7.9715433,10,12.292355,10,1,2,1,4,4,1,2,2,4,1,1
8.906356,17.171486,19.035257,10.067329,1,1,3,2,2,3,4,3,4,2,3
11.959367,13.495292,8.271155,7.776021,1,1,3,1,4,3,4,3,1,1,3
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,3
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,1
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,3
15,20,5,10,1,2,1,4,4,2,2,2,4,1,2
15,20,5,5,1,2,1,4,4,2,2,2,4,1,2
15,15,5,10,1,2,1,4,4,2,2,2,4,1,2
15,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,15,5,10,1,2,1,4,4,2,2,2,4,1,2
10,15,5,5,1,2,1,4,4,2,2,2,4,1,2
5,15,5,5,1,2,1,4,4,2,2,2,4,1,2
10,10,5,10,1,2,1,4,4,4,2,2,4,1,4
10,10,5,5,1,2,1,4,4,2,2,2,4,1,2
5,10,5,5,1,2,1,4,4,2,2,2,4,1,2
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,1
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,3
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,3
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,1
6.5818877,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,3
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,1
12.175149,7.523636,12.498687,5,1,1,1,4,3,3,4,4,3,3,3
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,4
8.467737,13.531912,6.0168047,7.5392795,1,2,1,4,1,1,2,2,1,2,1
9.785675,17.171486,9.195659,6.290353,1,1,1,3,4,1,1,1,3,1,1
5,5,5,9.039928,1,1,1,1,1,3,2,3,3,3,3
18.274921,10.408621,15.473137,13.685207,1,2,1,1,2,2,1,2,1,2,2
8.90016,7.0241666,17.741364,13.416522,1,2,1,2,4,4,2,1,2,3,4
