column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,1
10.870718,14.285685,14.014555,6.1335287,1,1,1,1,1,1,1,4,4,3,1
19.696974,18.459593,14.014555,7.213153,1,1,1,1,2,1,2,3,4,2,1
18.588974,8.97332,13.378915,15.92467,1,1,1,3,1,1,3,3,2,2,1
19.625431,17.707474,5.9899654,17.957891,1,1,1,3,4,1,1,4,4,2,1
18.274921,7.4396133,10.955354,11.139657,1,1,1,1,2,1,1,4,4,2,1
16.798813,13.886233,17.466087,7.7695603,1,1,3,3,3,1,4,1,3,2,1
19.102905,5.5263605,8.566562,5.35558,1,1,1,2,3,1,3,3,2,2,1
13.936863,15,5,19.946173,1,4,1,3,1,4,4,4,4,1,4
15.919387,11.974865,5.0700397,18.579712,1,4,1,1,1,4,2,1,1,1,4
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,1
19.696974,16.85607,15.541228,13.992013,1,2,1,2,3,1,3,4,2,2,1
15.346174,8.191858,10.358856,17.146467,1,1,1,1,1,3,1,3,1,1,3
19.696974,14.152961,19.593815,15.92467,1,3,3,3,2,1,4,1,3,1,1
16.951984,7.4396133,14.792846,11.139657,1,4,1,4,2,1,2,2,4,1,1
19.696974,14.152961,13.5193205,15.92467,1,4,1,3,2,1,1,4,4,3,1
19.102905,16.852028,18.686367,5.35558,1,1,1,2,3,1,3,3,2,2,1
17.623804,11.124921,12.457813,12.214894,1,4,1,1,2,1,4,4,4,3,1
15.455482,5.4870663,12.498687,16.26625,1,1,1,2,1,1,1,3,1,1,1
18.588974,14.261858,13.378915,15.92467,1,1,1,1,1,1,4,3,4,1,1
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,1
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,4
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1
15.346174,16.852028,7.616993,8.018355,1,1,1,1,1,1,1,3,1,2,1
13.128841,6.0222945,7.850887,8.018355,1,4,1,1,4,1,1,4,4,2,1
19.696974,19.171867,7.3166995,8.018355,1,1,1,1,1,1,3,4,3,1,1
19.789629,9.989179,15.214636,7.059444,1,3,1,4,3,1,1,3,1,1,1
15.346174,16.852028,19.264793,8.018355,1,4,1,4,1,1,4,4,4,3,1
10.870718,17.707474,6.736705,13.828317,1,4,1,4,1,1,4,1,4,1,1
11.311741,17.981514,19.593815,8.7772665,1,1,1,1,1,4,4,4,1,1,4
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,1
10.870718,14.285685,14.014555,6.1335287,1,1,1,1,1,1,1,4,4,3,1
19.696974,18.459593,14.014555,7.213153,1,1,1,1,2,1,2,3,4,2,1
18.588974,8.97332,13.378915,15.92467,1,1,1,3,1,1,3,3,2,2,1
19.625431,17.707474,5.9899654,17.957891,1,1,1,3,4,1,1,4,4,2,1
