column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,server0.999708951
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,server0.999708951
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,server0.999777377
15,20,5,10,1,2,1,4,4,2,2,2,4,1,server0.999708951
15,20,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
10,20,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
15,15,5,15,1,2,1,4,4,2,2,2,4,1,server0.999708951
15,15,5,10,1,2,1,4,4,2,2,2,4,1,server0.999708951
15,15,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
10,15,5,10,1,2,1,4,4,2,2,2,4,1,server0.999708951
10,15,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
5,15,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
10,10,5,10,1,2,1,4,4,4,2,2,4,1,server0.999708951
10,10,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
5,10,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
5,5,5,5,1,2,1,4,4,2,2,2,4,1,server0.999708951
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,server0.999708951
15.385284,15.2248745,17.101505,5,1,2,1,3,1,3,4,3,1,2,server0.999708951
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,server0.999777377
10,20,5,10,1,2,1,4,4,2,3,2,1,2,server0.999708951
10,15,15,5,1,2,3,3,4,2,2,2,4,3,server0.999637246
10,13.783443,15.216237,15.067605,1,2,3,3,2,2,1,3,2,2,server0.999708951
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,server0.999640465
11.87463,6.2821164,5.571046,5.2103906,1,2,3,4,2,3,3,2,3,1,server0.999708951
12.681728,7.046892,10.080449,6.0208697,1,3,1,1,3,3,2,4,2,2,server0.999640465
15.082165,11.970514,11.691257,14.723787,1,4,1,4,3,3,1,1,4,1,server0.999708951
5.965795,18.055859,5,9.762368,1,2,1,1,4,2,3,2,4,2,server0.999708951
8.323891,5.5976605,13.546026,16.341225,1,4,3,1,2,4,2,4,4,1,server0.999640465
