@relation respTime

@attribute column1 numeric
@attribute column2 numeric
@attribute column3 numeric
@attribute column4 numeric
@attribute column5 numeric
@attribute column6 numeric
@attribute column7 numeric
@attribute column8 numeric
@attribute column9 numeric
@attribute column10 numeric
@attribute column11 numeric
@attribute column12 numeric
@attribute column13 numeric
@attribute column14 numeric
@attribute column15 numeric

@data
19.618303,7.024167,15.844223,6.157928,1,2,3,2,3,1,3,1,2,2,0.423892
7.242718,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852974
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.427417
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684
10,20,5,5,1,2,1,4,4,2,2,2,4,1,0.479509
15,15,5,15,1,2,1,4,4,2,2,2,4,1,0.535161
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536917
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542184
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589009
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.60628
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,0.97306
15.385284,15.224875,17.101505,5,1,2,1,3,1,3,4,3,1,2,0.466987
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411762
10,20,5,10,1,2,1,4,4,2,3,2,1,2,0.454242
10,15,15,5,1,2,3,3,4,2,2,2,4,3,0.559517
10,13.783443,15.216237,15.067605,1,2,3,3,2,2,1,3,2,2,0.571517
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,0.80863
11.87463,6.282116,5.571046,5.210391,1,2,3,4,2,3,3,2,3,1,1.38403
12.681728,7.046892,10.080449,6.02087,1,3,1,1,3,3,2,4,2,2,0.753415
15.082165,11.970514,11.691257,14.723787,1,4,1,4,3,3,1,1,4,1,0.656536
5.965795,18.055859,5,9.762368,1,2,1,1,4,2,3,2,4,2,0.571209
8.323891,5.597661,13.546026,16.341225,1,4,3,1,2,4,2,4,4,1,0.540368
7.618059,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,0.563323
19.365881,16.6417,5,7.239067,1,2,1,4,1,2,4,2,4,3,0.469729
19.618303,7.024167,15.844223,6.157928,1,2,3,2,3,1,3,1,2,2,0.423892
7.242718,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852974
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.427417
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536917
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542184
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589009
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.60628
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,0.97306
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411762
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,0.936141
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,0.407984
6.581888,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1.25663
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,0.438976
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.45077
7.971543,10,12.292355,10,1,2,1,4,4,1,2,2,4,1,1.00134
19.981346,19.53531,5,6.667172,1,4,1,3,2,2,2,4,1,1,0.426107
14.091442,18.266363,7.185748,8.561736,1,4,3,4,1,2,2,2,4,3,0.530099
16.182137,17.88979,7.319116,17.105978,1,1,1,2,3,2,4,3,2,2,0.45121
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,0.80863
8.906356,17.171486,19.035257,10.067329,1,1,3,2,2,3,4,3,4,2,0.441473
10,20,5,5,1,2,1,4,4,2,2,2,4,1,0.479509
12.681728,7.046892,10.080449,6.02087,1,3,1,1,3,3,2,4,2,2,0.753415
7.618059,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,0.563323
19.618303,7.024167,15.844223,6.157928,1,2,3,2,3,1,3,1,2,2,0.423892
7.242718,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852974
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.427417
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536917
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542184
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589009
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009
