column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,0.423891991
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929006
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852973998
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.42741701
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684004
10,20,5,5,1,2,1,4,4,2,2,2,4,1,0.479508996
15,15,5,15,1,2,1,4,4,2,2,2,4,1,0.535161018
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536916971
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542183995
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742023
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589008987
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484022
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742004
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009028
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484004
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.606279969
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,0.973060012
15.385284,15.2248745,17.101505,5,1,2,1,3,1,3,4,3,1,2,0.466987014
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411761999
10,20,5,10,1,2,1,4,4,2,3,2,1,2,0.454241991
10,15,15,5,1,2,3,3,4,2,2,2,4,3,0.559517026
10,13.783443,15.216237,15.067605,1,2,3,3,2,2,1,3,2,2,0.571516991
8.571524,7.046892,10.080449,9.530577,1,4,3,1,1,3,2,2,2,1,0.80862999
11.87463,6.2821164,5.571046,5.2103906,1,2,3,4,2,3,3,2,3,1,1.384029984
12.681728,7.046892,10.080449,6.0208697,1,3,1,1,3,3,2,4,2,2,0.753414989
15.082165,11.970514,11.691257,14.723787,1,4,1,4,3,3,1,1,4,1,0.656535983
5.965795,18.055859,5,9.762368,1,2,1,1,4,2,3,2,4,2,0.571209013
8.323891,5.5976605,13.546026,16.341225,1,4,3,1,2,4,2,4,4,1,0.540368021
7.6180587,6.08788,11.930166,15.246459,1,1,3,4,3,4,3,3,2,2,0.563323021
19.365881,16.6417,5,7.239067,1,2,1,4,1,2,4,2,4,3,0.469729006
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,0.423891991
7.2427177,11.974865,11.800377,15.806165,1,2,1,1,2,3,1,3,2,1,0.754929006
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852973998
15,20,5,10,1,2,1,4,4,2,2,2,4,1,0.42741701
15,20,5,5,1,2,1,4,4,2,2,2,4,1,0.432684004
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536916971
15,15,5,5,1,2,1,4,4,2,2,2,4,1,0.542183995
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742023
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589008987
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484022
10,10,5,10,1,2,1,4,4,4,2,2,4,1,0.802742004
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009028
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484004
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.606279969
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,0.973060012
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411761999
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,0.936141014
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,0.407983989
6.5818877,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1.256629944
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,0.43897599
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
7.9715433,10,12.292355,10,1,2,1,4,4,1,2,2,4,1,1.001340032
19.981346,19.53531,5,6.6671724,1,4,1,3,2,2,2,4,1,1,0.426106989
14.091442,18.266363,7.185748,8.561736,1,4,3,4,1,2,2,2,4,3,0.530098975
