column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.106040001
15.919387,11.974865,5.0700397,18.579712,1,4,1,1,1,4,2,1,1,1,0.445340991
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,0.746366024
14.24266,18.862589,18.269363,13.260842,1,4,1,1,1,4,1,1,4,1,0.597679019
19.625431,17.707474,5.9899654,17.957891,1,1,1,3,4,1,1,4,4,2,0.399185002
19.696974,6.3141766,7.3166995,6.592851,1,2,1,1,3,1,2,3,2,2,0.419824988
19.696974,5.683792,14.014555,5.174107,1,1,1,1,3,1,4,4,2,2,0.401564002
17.344193,16.852028,7.616993,14.223626,1,1,3,1,1,1,1,3,3,2,0.515874028
19.789629,9.989179,15.214636,7.059444,1,3,1,4,3,1,1,3,1,1,0.408986986
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
15.346174,16.852028,7.616993,8.018355,1,1,1,1,1,1,1,3,1,2,0.511379004
13.128841,6.0222945,7.850887,8.018355,1,4,1,1,4,1,1,4,4,2,0.607010007
19.696974,19.171867,7.3166995,8.018355,1,1,1,1,1,1,3,4,3,1,0.40922001
15.346174,16.852028,19.264793,8.018355,1,4,1,4,1,1,4,4,4,3,0.532697022
10.870718,17.707474,6.736705,13.828317,1,4,1,4,1,1,4,1,4,1,0.735448003
11.311741,17.981514,19.593815,8.7772665,1,1,1,1,1,4,4,4,1,1,0.873537004
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,0.408551008
10.870718,14.285685,14.014555,6.1335287,1,1,1,1,1,1,1,4,4,3,0.739107013
18.588974,8.97332,13.378915,15.92467,1,1,1,3,1,1,3,3,2,2,0.421629012
18.274921,7.4396133,10.955354,11.139657,1,1,1,1,2,1,1,4,4,2,0.433111995
19.102905,5.5263605,8.566562,5.35558,1,1,1,2,3,1,3,3,2,2,0.414575011
15.919387,10.778831,11.3439245,13.072289,1,1,1,2,1,1,1,1,1,2,0.491690993
16.573244,14.889923,18.179752,8.018355,1,2,1,1,1,1,2,1,2,2,0.473331004
19.625431,15.841194,9.858532,12.099104,1,1,1,2,1,1,2,1,1,1,0.409031987
7.567195,18.459593,16.187878,7.213153,1,4,1,1,1,1,4,4,1,1,1.061920047
18.0796,6.762371,11.3439245,12.865232,1,4,1,1,1,1,4,1,1,2,0.436304986
13.250471,16.65266,5.0700397,17.042076,1,1,1,3,1,1,1,1,1,2,0.590727985
19.789629,16.095518,7.616993,8.018355,1,1,1,1,1,1,1,2,2,2,0.395790011
15.346174,9.388848,13.094428,13.073675,1,1,3,1,1,1,3,1,1,3,0.532015979
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.106040001
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,0.746366024
14.372465,6.3141766,7.3166995,17.670319,1,2,1,1,3,1,2,3,3,1,0.57672298
19.696974,5.683792,14.014555,5.174107,1,1,1,1,3,1,4,4,2,2,0.401564002
14.24266,18.862589,18.269363,13.260842,1,4,1,1,1,4,1,1,4,1,0.597679019
15.919387,11.974865,5.0700397,18.579712,1,4,1,1,1,4,2,1,1,1,0.445340991
19.625431,17.707474,5.9899654,17.957891,1,1,1,3,4,1,1,4,4,2,0.399185002
19.201544,18.459593,7.3166995,14.48689,1,1,1,3,1,1,3,4,3,1,0.418592006
17.344193,16.852028,7.616993,14.223626,1,1,3,1,1,1,1,3,3,2,0.515874028
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
15.346174,16.852028,7.616993,8.018355,1,1,1,1,1,1,1,3,1,2,0.511379004
13.128841,6.0222945,7.850887,8.018355,1,4,1,1,4,1,1,4,4,2,0.607010007
19.696974,19.171867,7.3166995,8.018355,1,1,1,1,1,1,3,4,3,1,0.40922001
15.346174,16.852028,19.264793,8.018355,1,4,1,4,1,1,4,4,4,3,0.532697022
10.870718,17.707474,6.736705,13.828317,1,4,1,4,1,1,4,1,4,1,0.735448003
11.311741,17.981514,19.593815,8.7772665,1,1,1,1,1,4,4,4,1,1,0.873537004
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,0.408551008
10.870718,14.285685,14.014555,6.1335287,1,1,1,1,1,1,1,4,4,3,0.739107013
18.588974,8.97332,13.378915,15.92467,1,1,1,3,1,1,3,3,2,2,0.421629012
18.274921,7.4396133,10.955354,11.139657,1,1,1,1,2,1,1,4,4,2,0.433111995
19.102905,5.5263605,8.566562,5.35558,1,1,1,2,3,1,3,3,2,2,0.414575011
15.919387,10.778831,11.3439245,13.072289,1,1,1,2,1,1,1,1,1,2,0.491690993
16.573244,14.889923,18.179752,8.018355,1,2,1,1,1,1,2,1,2,2,0.473331004
19.625431,15.841194,9.858532,12.099104,1,1,1,2,1,1,2,1,1,1,0.409031987
7.567195,18.459593,16.187878,7.213153,1,4,1,1,1,1,4,4,1,1,1.061920047
18.0796,6.762371,11.3439245,12.865232,1,4,1,1,1,1,4,1,1,2,0.436304986
13.250471,16.65266,5.0700397,17.042076,1,1,1,3,1,1,1,1,1,2,0.590727985
19.789629,16.095518,7.616993,8.018355,1,1,1,1,1,1,1,2,2,2,0.395790011
15.346174,9.388848,13.094428,13.073675,1,1,3,1,1,1,3,1,1,3,0.532015979
10.058472,11.603558,16.076525,11.139657,1,1,1,2,2,2,1,2,2,3,0.711395025
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
17.344193,16.852028,7.616993,14.223626,1,1,3,1,1,1,1,3,3,2,0.515874028
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.106040001
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,0.746366024
15.919387,11.974865,5.0700397,18.579712,1,4,1,1,1,4,2,1,1,1,0.445340991
19.696974,11.769441,7.3166995,14.020961,1,4,1,1,4,1,1,1,3,2,0.40170601
14.372465,6.3141766,7.3166995,17.670319,1,2,1,1,3,1,2,3,3,1,0.57672298
15.919387,11.120264,10.407238,17.782005,1,3,1,1,1,1,1,1,4,2,0.496666998
15.346174,16.852028,12.481119,8.018355,1,1,1,3,4,1,1,3,4,1,0.526525021
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
15.346174,16.852028,7.616993,8.018355,1,1,1,1,1,1,1,3,1,2,0.511379004
13.128841,6.0222945,7.850887,8.018355,1,4,1,1,4,1,1,4,4,2,0.607010007
19.696974,19.171867,7.3166995,8.018355,1,1,1,1,1,1,3,4,3,1,0.40922001
15.346174,16.852028,19.264793,8.018355,1,4,1,4,1,1,4,4,4,3,0.532697022
10.870718,17.707474,6.736705,13.828317,1,4,1,4,1,1,4,1,4,1,0.735448003
11.311741,17.981514,19.593815,8.7772665,1,1,1,1,1,4,4,4,1,1,0.873537004
19.789629,12.820185,8.073853,11.139657,1,1,1,1,2,1,1,3,2,1,0.408551008
10.870718,14.285685,14.014555,6.1335287,1,1,1,1,1,1,1,4,4,3,0.739107013
18.588974,8.97332,13.378915,15.92467,1,1,1,3,1,1,3,3,2,2,0.421629012
18.274921,7.4396133,10.955354,11.139657,1,1,1,1,2,1,1,4,4,2,0.433111995
19.102905,5.5263605,8.566562,5.35558,1,1,1,2,3,1,3,3,2,2,0.414575011
15.919387,10.778831,11.3439245,13.072289,1,1,1,2,1,1,1,1,1,2,0.491690993
16.573244,14.889923,18.179752,8.018355,1,2,1,1,1,1,2,1,2,2,0.473331004
19.625431,15.841194,9.858532,12.099104,1,1,1,2,1,1,2,1,1,1,0.409031987
7.567195,18.459593,16.187878,7.213153,1,4,1,1,1,1,4,4,1,1,1.061920047
18.0796,6.762371,11.3439245,12.865232,1,4,1,1,1,1,4,1,1,2,0.436304986
13.250471,16.65266,5.0700397,17.042076,1,1,1,3,1,1,1,1,1,2,0.590727985
19.789629,16.095518,7.616993,8.018355,1,1,1,1,1,1,1,2,2,2,0.395790011
15.346174,9.388848,13.094428,13.073675,1,1,3,1,1,1,3,1,1,3,0.532015979
10.058472,11.603558,16.076525,11.139657,1,1,1,2,2,2,1,2,2,3,0.711395025
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.106040001
15.919387,11.974865,5.0700397,18.579712,1,4,1,1,1,4,2,1,1,1,0.445340991
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,0.746366024
19.789629,10.480842,19.57574,14.718635,1,1,1,4,1,3,4,4,2,2,0.399515003
14.372465,6.3141766,7.3166995,17.670319,1,2,1,1,3,1,2,3,3,1,0.57672298
15.346174,16.852028,12.481119,8.018355,1,1,1,3,4,1,1,3,4,1,0.526525021
19.696974,11.769441,7.3166995,14.020961,1,4,1,1,4,1,1,1,3,2,0.40170601
5.9850006,16.251972,6.9750485,11.139657,1,1,1,4,2,2,2,2,2,3,0.656373024
