column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15
10,10,5,5,1,2,1,4,4,2,2,2,4,1,0.808009028
5,10,5,5,1,2,1,4,4,2,2,2,4,1,0.948484004
9.019583,14.300368,5,8.018355,1,4,3,1,3,1,1,4,4,1,0.973060012
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411761999
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,0.936141014
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,0.407983989
6.5818877,14.300368,5,9.270063,1,4,3,1,3,1,1,1,3,1,1.256629944
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,0.43897599
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
12.175149,7.523636,12.498687,5,1,1,1,4,3,3,4,4,3,3,0.647144973
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
8.467737,13.531912,6.0168047,7.5392795,1,2,1,4,1,1,2,2,1,2,0.916867971
9.785675,17.171486,9.195659,6.290353,1,1,1,3,4,1,1,1,3,1,0.823199987
5,5,5,9.039928,1,1,1,1,1,3,2,3,3,3,1.604369998
18.274921,10.408621,15.473137,13.685207,1,2,1,1,2,2,1,2,1,2,0.702098012
8.90016,7.0241666,17.741364,13.416522,1,2,1,2,4,4,2,1,2,3,0.661415994
19.981346,19.53531,5,6.6671724,1,4,1,3,2,2,2,4,1,1,0.426106989
5,5,5,5,1,2,1,4,4,2,2,2,4,1,1.606279969
8.906356,17.171486,19.035257,10.067329,1,1,3,2,2,3,4,3,4,2,0.441473007
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852973998
15,15,5,10,1,2,1,4,4,2,2,2,4,1,0.536916971
10,15,5,10,1,2,1,4,4,2,2,2,4,1,0.583742023
10,15,5,5,1,2,1,4,4,2,2,2,4,1,0.589008987
5,15,5,5,1,2,1,4,4,2,2,2,4,1,0.729484022
18.588974,17.981514,19.593815,15.92467,1,1,3,1,1,3,4,3,3,1,0.411761999
11.379901,8.554373,8.076585,5,1,1,1,4,1,3,4,3,1,1,0.936141014
19.696974,14.152961,19.593815,15.92467,1,1,1,3,3,1,2,2,4,1,0.407983989
10,20,19.959127,5,1,1,3,1,1,3,4,3,4,3,0.43897599
18.274921,16.852028,7.616993,8.018355,1,4,1,1,1,1,1,4,4,3,0.450769991
12.175149,7.523636,12.498687,5,1,1,1,4,3,3,4,4,3,3,0.647144973
19.789629,15,5,19.946173,1,4,1,1,2,4,1,3,2,2,0.39677301
8.467737,13.531912,6.0168047,7.5392795,1,2,1,4,1,1,2,2,1,2,0.916867971
18.274921,10.408621,15.473137,13.685207,1,2,1,1,2,2,1,2,1,2,0.702098012
8.90016,7.0241666,17.741364,13.416522,1,2,1,2,4,4,2,1,2,3,0.661415994
11.488228,11.999324,5,15.29726,1,2,1,2,1,4,2,2,4,2,0.541947007
19.618303,7.0241666,13.460536,6.290353,1,4,1,3,1,1,1,1,3,2,0.415239006
7.2427177,11.974865,11.800377,8.018355,1,4,1,1,1,1,4,4,4,1,1.106040001
10.870718,14.285685,17.424522,6.9775767,1,4,1,1,1,1,1,4,4,3,0.746366024
19.696974,14.152961,7.072745,15.92467,1,4,1,3,2,1,4,2,3,1,0.410955995
15.061195,15,11.238206,9.507786,1,2,1,1,2,2,2,4,4,1,0.535638988
19.618303,7.0241666,15.844223,6.1579275,1,2,3,2,3,1,3,1,2,2,0.423891991
5,5,5,9.039928,1,1,1,1,1,3,2,3,3,3,1.604369998
8.906356,17.171486,9.195659,12.142789,1,1,3,2,3,3,2,3,3,2,0.852973998
